donation_id,supporter_id,donation_date,donation_amount,payment_channel,campaign_id
90004145,107031,2024-06-13,325,Online,30025
90007754,107031,2024-07-15,186,Online,30010
90000049,104694,2022-09-03,56,Online,30037
90000434,104694,2022-08-03,1006,Online,30037
90002000,104694,2023-05-15,168,Online,30012
90004204,104694,2024-09-01,335,Online,30034
90005311,104694,2025-12-20,280,Online,30047
90010674,104694,2022-09-02,280,Online,30037
90000050,102517,2022-05-22,117,Event,30006
90000939,102517,2022-06-23,621,Online,30006
90005774,102517,2025-03-08,427,Online,30035
90015646,102517,2022-05-23,194,Bank Transfer,30006
90000051,102743,2022-06-26,159,Bank Transfer,30026
90000342,102743,2022-03-22,53,Online,30028
90002622,102743,2023-11-11,53,Online,30005
90005940,102743,2025-03-31,159,Online,30043
90011709,102743,2024-07-16,71,Online,30019
90000052,103938,2022-03-23,380,Event,30028
90004327,103938,2024-07-08,152,Event,30019
90004569,103938,2024-03-16,684,Bank Transfer,30046
90008939,103938,2025-12-25,760,Online,30047
90000053,104270,2022-03-26,340,Bank Transfer,30028
90000539,104270,2022-03-28,534,Online,30028
90005939,104270,2025-08-04,679,Online,30042
90017773,104270,2025-01-26,437,Online,30043
90000054,102644,2022-12-03,20,Online,30040
90003883,102644,2024-07-29,70,Online,30019
90003956,102644,2024-11-10,20,Event,30048
90008810,102644,2022-01-09,49,Online,30031
90012565,102644,2024-03-20,22,Bank Transfer,30036
90026160,102644,2023-12-29,20,Online,30005
90034976,102644,2022-07-23,22,Bank Transfer,30018
90000055,105001,2022-02-20,143,Event,30024
90000338,105001,2022-09-13,143,Online,30022
90001936,105001,2023-12-28,61,Online,30008
90002811,105001,2023-12-12,102,Online,30049
90003168,105001,2024-02-17,143,Bank Transfer,30023
90017526,105001,2022-07-29,122,Bank Transfer,30037
90000056,111310,2022-09-02,933,Online,30037
90003654,111310,2024-02-19,533,Online,30023
90004891,111310,2025-04-05,667,Online,30035
90011359,111310,2024-08-15,67,Online,30010
90000057,107143,2022-01-08,320,Online,30031
90000942,107143,2022-03-20,91,Bank Transfer,30024
90001385,107143,2022-06-14,228,Online,30026
90003117,107143,2024-05-26,183,Online,30025
90003578,107143,2024-11-19,228,Bank Transfer,30048
90004222,107143,2024-03-21,366,Bank Transfer,30016
90004723,107143,2024-06-19,183,Online,30000
90000058,104249,2022-11-07,36,Online,30045
90000429,104249,2022-12-11,71,Online,30045
90000629,104249,2022-10-18,53,Online,30022
90002053,104249,2023-02-24,71,Event,30030
90002368,104249,2023-11-26,53,Online,30001
90002369,104249,2023-08-16,53,Bank Transfer,30015
90003352,104249,2024-02-10,20,Event,30023
90003514,104249,2024-05-05,124,Bank Transfer,30046
90004356,104249,2024-05-26,71,Online,30025
90005048,104249,2025-08-22,53,Online,30033
90010967,104249,2024-11-28,36,Online,30048
90026171,104249,2022-07-13,53,Online,30039
90000059,109800,2022-11-30,510,Online,30045
90000165,109800,2022-08-11,64,Bank Transfer,30037
90004043,109800,2024-12-15,223,Online,30048
90029275,109800,2024-08-11,223,Bank Transfer,30010
90031023,109800,2023-11-11,159,Event,30049
90000060,115593,2022-06-10,59,Online,30039
90000886,115593,2022-05-28,29,Bank Transfer,30020
90001246,115593,2022-12-23,117,Online,30040
90001407,115593,2022-01-27,176,Bank Transfer,30031
90004652,115593,2024-05-04,117,Online,30046
90013075,115593,2024-03-26,59,Online,30038
90016022,115593,2022-07-06,117,Online,30006
90029652,115593,2025-11-07,293,Online,30044
90000061,117757,2022-06-20,203,Online,30039
90000063,117757,2022-12-28,373,Online,30032
90002088,117757,2023-11-26,407,Bank Transfer,30008
90004663,117757,2024-06-30,68,Bank Transfer,30010
90032264,117757,2024-02-29,271,Online,30016
90000062,115286,2022-03-13,307,Bank Transfer,30028
90001444,115286,2022-01-07,358,Bank Transfer,30031
90005166,115286,2025-02-19,818,Online,30043
90000064,102230,2022-03-20,20,Online,30028
90000412,102230,2022-09-06,133,Event,30022
90001023,102230,2022-04-01,93,Event,30028
90004562,102230,2024-09-06,186,Bank Transfer,30034
90022931,102230,2024-12-15,20,Online,30027
90000065,119146,2022-07-10,544,Online,30039
90000273,119146,2022-01-21,817,Event,30031
90000066,102134,2022-11-23,610,Online,30032
90003267,102134,2024-03-28,991,Online,30036
90004729,102134,2024-03-01,686,Online,30016
90000067,107837,2022-05-20,962,Bank Transfer,30006
90001468,107837,2023-07-19,240,Bank Transfer,30015
90004473,107837,2024-06-09,144,Online,30025
90011457,107837,2023-12-24,144,Online,30005
90026161,107837,2024-05-05,144,Online,30046
90000069,103353,2022-01-04,237,Event,30031
90000230,103353,2022-07-04,474,Bank Transfer,30006
90001963,103353,2023-04-20,1106,Online,30030
90000070,110753,2022-05-29,235,Bank Transfer,30006
90000132,110753,2022-02-06,235,Online,30024
90003622,110753,2024-10-31,168,Online,30027
90005350,110753,2025-12-23,269,Bank Transfer,30011
90007474,110753,2023-09-23,101,Online,30041
90026754,110753,2022-02-01,235,Bank Transfer,30024
90000072,118423,2022-06-28,150,Online,30006
90001594,118423,2023-05-03,275,Bank Transfer,30012
90003805,118423,2024-06-01,275,Event,30025
90005034,118423,2025-12-19,275,Online,30002
90000073,106996,2022-06-23,200,Bank Transfer,30039
90000074,118748,2022-06-01,96,Bank Transfer,30018
90000808,118748,2022-07-26,161,Online,30037
90001835,118748,2023-02-16,161,Bank Transfer,30021
90003546,118748,2024-07-15,289,Online,30010
90003835,118748,2024-06-04,96,Online,30025
90014247,118748,2022-09-13,64,Bank Transfer,30022
90018995,118748,2024-03-15,193,Online,30016
90019722,118748,2024-03-22,96,Online,30046
90033045,118748,2024-04-07,193,Online,30038
90000075,102159,2022-12-31,138,Bank Transfer,30040
90000098,102159,2022-02-10,275,Online,30024
90004022,102159,2024-12-07,138,Bank Transfer,30048
90004643,102159,2024-12-21,413,Online,30048
90007132,102159,2024-09-03,138,Bank Transfer,30034
90023798,102159,2025-12-29,367,Bank Transfer,30011
90000076,111301,2022-01-17,126,Bank Transfer,30031
90002520,111301,2023-08-23,628,Bank Transfer,30004
90013562,111301,2025-12-23,168,Online,30047
90026529,111301,2024-04-02,419,Online,30038
90000077,117951,2022-06-25,40,Online,30039
90002415,117951,2023-09-25,161,Event,30041
90013597,117951,2024-03-18,148,Online,30016
90033299,117951,2025-01-23,67,Online,30035
90034627,117951,2022-06-01,81,Online,30006
90000078,116095,2022-06-19,556,Online,30026
90000432,116095,2022-09-18,556,Online,30022
90000850,116095,2022-09-22,199,Online,30022
90004298,116095,2024-11-11,199,Online,30048
90004555,116095,2024-02-29,159,Online,30016
90000079,100337,2022-12-02,304,Online,30032
90005515,100337,2025-03-25,304,Bank Transfer,30007
90007418,100337,2025-09-01,608,Online,30033
90025663,100337,2024-02-18,608,Online,30038
90000080,111461,2022-06-15,124,Bank Transfer,30026
90000477,111461,2022-06-29,74,Online,30020
90000678,111461,2022-06-13,74,Event,30026
90000689,111461,2022-07-13,37,Online,30018
90010092,111461,2025-10-15,124,Online,30003
90000081,105320,2022-07-09,117,Online,30039
90001223,105320,2022-12-22,58,Event,30040
90003272,105320,2024-04-11,525,Bank Transfer,30036
90004041,105320,2024-12-02,175,Online,30048
90004229,105320,2024-02-20,58,Online,30038
90004724,105320,2024-06-29,233,Online,30000
90004909,105320,2025-12-21,233,Online,30011
90011301,105320,2024-03-28,584,Online,30038
90020175,105320,2023-12-19,175,Online,30014
90000082,114854,2022-12-16,37,Online,30045
90002199,114854,2023-03-26,110,Online,30021
90002328,114854,2023-10-16,147,Online,30001
90003642,114854,2024-04-20,73,Online,30036
90010033,114854,2022-03-16,256,Bank Transfer,30028
90011645,114854,2023-08-23,256,Online,30004
90027156,114854,2023-12-06,293,Online,30008
90027812,114854,2023-11-10,366,Bank Transfer,30014
90000083,104935,2022-07-04,43,Online,30020
90011192,104935,2023-10-02,108,Online,30041
90014821,104935,2025-05-10,27,Online,30007
90026678,104935,2025-10-25,22,Bank Transfer,30002
90000084,105321,2022-07-13,76,Online,30020
90013746,105321,2022-08-10,114,Event,30037
90025935,105321,2023-07-14,20,Online,30015
90000085,109416,2022-03-21,114,Online,30024
90000264,109416,2022-09-15,114,Bank Transfer,30022
90000907,109416,2022-01-24,229,Online,30031
90003275,109416,2024-06-03,171,Bank Transfer,30000
90018601,109416,2022-10-24,400,Online,30045
90021084,109416,2025-04-04,229,Online,30043
90027670,109416,2022-12-30,171,Bank Transfer,30045
90000086,106121,2022-12-04,214,Bank Transfer,30040
90000830,106121,2022-07-12,39,Online,30006
90002226,106121,2023-12-23,214,Online,30005
90004875,106121,2025-12-25,78,Online,30011
90005820,106121,2025-03-13,273,Bank Transfer,30043
90000087,103100,2022-09-28,116,Online,30022
90000102,103100,2022-05-30,757,Online,30020
90002193,103100,2023-10-02,291,Online,30041
90005322,103100,2025-12-31,1164,Online,30011
90000088,102067,2022-12-06,77,Bank Transfer,30032
90000281,102067,2022-06-13,269,Online,30039
90003459,102067,2024-08-07,423,Online,30034
90010391,102067,2024-03-25,308,Online,30016
90015269,102067,2023-09-25,346,Online,30041
90000089,108609,2022-03-31,277,Online,30028
90000902,108609,2022-06-22,593,Online,30026
90001854,108609,2023-07-27,198,Event,30015
90030817,108609,2023-11-09,316,Bank Transfer,30049
90000090,112951,2022-02-14,24,Online,30024
90000357,112951,2022-12-17,72,Online,30040
90002058,112951,2023-04-20,72,Bank Transfer,30012
90002451,112951,2023-11-16,36,Event,30014
90002513,112951,2023-10-08,48,Online,30041
90003026,112951,2023-12-26,119,Event,30008
90024775,112951,2025-11-03,36,Bank Transfer,30013
90031603,112951,2022-05-23,36,Bank Transfer,30006
90000091,115332,2022-12-17,1469,Bank Transfer,30040
90002231,115332,2023-04-21,910,Online,30021
90000092,116401,2022-06-08,129,Bank Transfer,30020
90000791,116401,2022-10-19,86,Online,30032
90001232,116401,2022-08-27,86,Online,30037
90001453,116401,2022-06-29,216,Online,30020
90015112,116401,2023-04-08,302,Event,30030
90019544,116401,2023-11-05,173,Event,30014
90021746,116401,2022-07-07,345,Online,30006
90030683,116401,2025-12-22,345,Online,30011
90000093,118562,2022-11-30,298,Online,30040
90000110,118562,2022-07-08,357,Online,30020
90005967,118562,2025-02-27,357,Online,30043
90012465,118562,2024-04-07,238,Online,30036
90015694,118562,2024-04-07,357,Online,30038
90029813,118562,2025-11-16,298,Bank Transfer,30044
90029842,118562,2022-03-24,357,Online,30028
90000094,102838,2022-07-13,123,Bank Transfer,30039
90002772,102838,2023-08-26,92,Bank Transfer,30029
90004837,102838,2025-02-11,20,Online,30017
90005320,102838,2025-03-20,77,Online,30007
90005973,102838,2025-12-15,107,Bank Transfer,30047
90000095,116029,2022-07-28,1373,Online,30037
90000096,100497,2022-05-30,795,Online,30006
90000494,100497,2022-07-27,199,Online,30037
90001896,100497,2023-11-20,132,Online,30005
90000097,103237,2022-12-18,1564,Online,30045
90000109,103237,2022-11-08,335,Online,30032
90003483,103237,2024-11-24,168,Event,30048
90000099,105134,2022-11-03,198,Online,30032
90002432,105134,2023-07-18,316,Event,30009
90005155,105134,2025-09-27,178,Online,30033
90000100,119072,2022-02-07,123,Online,30024
90010417,119072,2025-04-23,410,Online,30007
90031771,119072,2023-12-17,410,Online,30049
90033018,119072,2022-11-21,205,Online,30045
90000101,100790,2022-06-26,179,Online,30020
90001339,100790,2022-06-13,251,Online,30026
90002743,100790,2023-07-15,215,Online,30015
90005875,100790,2025-03-25,179,Online,30035
90022191,100790,2022-07-30,215,Online,30037
90025600,100790,2022-03-06,179,Online,30024
90000103,103850,2022-11-12,199,Online,30045
90000992,103850,2022-06-19,85,Online,30026
90002941,103850,2023-03-29,85,Online,30030
90004841,103850,2025-12-11,256,Event,30047
90006704,103850,2023-12-03,142,Online,30001
90020283,103850,2024-10-11,256,Online,30027
90021582,103850,2023-07-19,85,Online,30015
90000104,112637,2022-07-04,806,Event,30020
90014248,112637,2022-07-05,1266,Online,30039
90000105,112533,2022-09-28,41,Online,30022
90013533,112533,2023-07-18,122,Online,30015
90017360,112533,2022-01-05,163,Online,30031
90018491,112533,2023-11-22,326,Online,30001
90020243,112533,2022-09-21,203,Bank Transfer,30022
90025094,112533,2024-04-09,285,Online,30046
90000106,109685,2022-07-12,20,Online,30020
90000861,109685,2022-11-07,44,Online,30045
90005706,109685,2025-10-07,44,Bank Transfer,30003
90009715,109685,2025-11-11,38,Online,30047
90024157,109685,2023-11-26,62,Online,30014
90000107,108761,2022-09-10,75,Bank Transfer,30022
90000607,108761,2022-12-26,410,Online,30040
90019985,108761,2022-06-30,149,Bank Transfer,30006
90027256,108761,2025-08-30,224,Online,30033
90029916,108761,2024-05-10,186,Bank Transfer,30046
90032203,108761,2022-09-27,186,Online,30022
90000108,117815,2022-06-28,569,Online,30018
90000111,101297,2022-07-21,104,Online,30018
90002608,101297,2023-08-22,40,Bank Transfer,30015
90002838,101297,2023-12-06,129,Bank Transfer,30005
90000112,101849,2022-06-11,376,Event,30039
90017114,101849,2023-05-15,215,Bank Transfer,30012
90000113,111906,2022-12-31,623,Bank Transfer,30032
90003067,111906,2024-07-24,242,Event,30019
90020141,111906,2025-08-02,208,Online,30033
90028793,111906,2023-03-16,242,Bank Transfer,30021
90000114,100178,2022-07-25,168,Online,30037
90000316,100178,2022-06-04,307,Online,30006
90005676,100178,2025-02-22,363,Online,30017
90016232,100178,2022-12-11,168,Bank Transfer,30045
90000116,101097,2022-03-20,698,Bank Transfer,30028
90005280,101097,2025-11-26,116,Event,30044
90018253,101097,2024-10-23,155,Online,30027
90000117,104478,2022-06-02,59,Online,30006
90005344,104478,2025-11-08,196,Event,30044
90005513,104478,2025-02-11,196,Bank Transfer,30043
90033503,104478,2022-06-30,333,Online,30039
90000118,103454,2022-10-27,88,Bank Transfer,30045
90005032,103454,2025-07-06,152,Online,30042
90000119,110201,2022-03-28,32,Online,30028
90002946,110201,2023-12-31,63,Online,30049
90005819,110201,2025-09-18,158,Online,30033
90011230,110201,2022-12-18,95,Bank Transfer,30040
90011497,110201,2023-11-27,95,Online,30005
90014847,110201,2024-07-26,126,Event,30019
90022942,110201,2025-12-21,442,Online,30002
90000120,108539,2022-06-29,600,Bank Transfer,30018
90000570,108539,2022-07-16,164,Online,30020
90001761,108539,2023-12-08,600,Bank Transfer,30014
90002227,108539,2023-12-25,164,Online,30014
90003060,108539,2024-11-21,109,Online,30027
90003095,108539,2024-11-25,218,Bank Transfer,30048
90003163,108539,2024-03-20,382,Online,30036
90000121,104368,2022-07-13,218,Bank Transfer,30039
90000183,104368,2022-05-18,581,Bank Transfer,30006
90000626,104368,2022-12-07,291,Online,30045
